Content ID,FeatureID (from Feature List),Content Name (from Call Flow),ContentID,Unit number,Question number,Message Text (English) [DRAFT],Message Text (French),Question/Comment,Reviewed by?,Recorded?,Filename (should be same as ContentID),Audio split? (if necessary),Directory of audio file,Audio matched to lookup key?
,,QuestionExamples,QuestionExamples,,,,,"Is this just randomly selected questions of the question_types in this unit? How should we choose which question types to give examples of? Should parents hear the response options too? (yes) Should they be able to respond? (probably?) Should we have custom feedback messages, or use the same ones as for the child? Should we track parents' performance too? (not to use it to determine anything, but for future analyses?)",,,QuestionExamples,,,
,16,QuestionSummary,QuestionSummary_1_1,1,1,"In this unit, your child is struggling the most with identifying the sound at the end of words","Dans cette unité, votre enfant est en difficulté le plus à identifier le son à la fin des mots",,,,QuestionSummary_1_1,,,
,16,QuestionSummary,QuestionSummary_2_2,2,2,"In this unit, your child is struggling the most with identifying the sound at the end of other sounds","Dans cette unité, votre enfant est en difficulté le plus à identifier le son à la fin des autres sons",,,,QuestionSummary_2_2,,,
,16,QuestionSummary,QuestionSummary_1_3,1,3,"In this unit, your child is struggling the most with choosing the word that doesn't belong","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui ne fait pas partie",,,,QuestionSummary_1_3,,,
,16,QuestionSummary,QuestionSummary_2_4,2,4,"In this unit, your child is struggling the most with choosing the sound that doesn't belong","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qui ne fait pas partie",,,,QuestionSummary_2_4,,,
,16,QuestionSummary,QuestionSummary_1_5,1,5,"In this unit, your child is struggling the most with choosing whether two words rhyme or not","Dans cette unité, votre enfant est en difficulté le plus à choisir si deux mots riment ou non",,,,QuestionSummary_1_5,,,
,16,QuestionSummary,QuestionSummary_2_6,2,6,"In this unit, your child is struggling the most with choosing whether two sounds rhyme or not","Dans cette unité, votre enfant est en difficulté le plus à choisir si deux sons riment ou non",,,,QuestionSummary_2_6,,,
,16,QuestionSummary,QuestionSummary_1_7,1,7,"In this unit, your child is struggling the most with choosing which pair of words rhymes","Dans cette unité, votre enfant a du mal le plus à choisir la paire de rimes mots",,,,QuestionSummary_1_7,,,
,16,QuestionSummary,QuestionSummary_2_8,2,8,"In this unit, your child is struggling the most with choosing which pair of sounds rhymes","Dans cette unité, votre enfant a du mal le plus à choisir la paire de rimes sons",,,,QuestionSummary_2_8,,,
,16,QuestionSummary,QuestionSummary_3_1,3,1,"In this unit, your child is struggling the most with choosing the word with a different sound at the beginning","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot avec un son différent au début",,,,QuestionSummary_3_1,,,
,16,QuestionSummary,QuestionSummary_3_2,3,2,"In this unit, your child is struggling the most with choosing the syllable with a different sound at the beginning","Dans cette unité, votre enfant est en difficulté le plus à choisir la syllabe avec un son différent au début",,,,QuestionSummary_3_2,,,
,16,QuestionSummary,QuestionSummary_3_3,3,3,"In this unit, your child is struggling the most with choosing the sound at the beginning of a word","Dans cette unité, votre enfant est en difficulté le plus à choisir le son au début d'un mot",,,,QuestionSummary_3_3,,,
,16,QuestionSummary,QuestionSummary_3_4,3,4,"In this unit, your child is struggling the most with choosing the sound at the beginning of another sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le son au début d'un autre son",,,,QuestionSummary_3_4,,,
,16,QuestionSummary,QuestionSummary_3_5,3,5,"In this unit, your child is struggling the most with choosing the sound at the end of a word","Dans cette unité, votre enfant est en difficulté le plus à choisir le son à la fin d'un mot",,,,QuestionSummary_3_5,,,
,16,QuestionSummary,QuestionSummary_3_6,3,6,"In this unit, your child is struggling the most with choosing the sound at the end of another sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le son à la fin d'un autre son",,,,QuestionSummary_3_6,,,
,16,QuestionSummary,QuestionSummary_4_1,4,1,"In this unit, your child is struggling the most with choosing the word that starts with a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui commence par un certain son",,,,QuestionSummary_4_1,,,
,16,QuestionSummary,QuestionSummary_4_2,4,2,"In this unit, your child is struggling the most with choosing what sound a certain letter makes","Dans cette unité, votre enfant est en difficulté le plus à choisir quel son d'une certaine lettre fait",,,,QuestionSummary_4_2,,,
,16,QuestionSummary,QuestionSummary_4_3,4,3,"In this unit, your child is struggling the most with naming the sound that two letters make when combined","Dans cette unité, votre enfant a du mal le plus de nommer le son que deux lettres font en combinaison",,,,QuestionSummary_4_3,,,
,16,QuestionSummary,QuestionSummary_4_6,4,6,"In this unit, your child is struggling the most with choosing the pair of letters that make a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir la paire de lettres qui font un certain bruit",,,,QuestionSummary_4_6,,,
,16,QuestionSummary,QuestionSummary_4_7,4,7,"In this unit, your child is struggling the most with choosing the letter that corresponds to a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir la lettre qui correspond à un certain son",,,,QuestionSummary_4_7,,,
,16,QuestionSummary,QuestionSummary_4_8,4,8,"In this unit, your child is struggling the most with choosing the group of letters that doesn't contain a certain sound","Dans cette unité, votre enfant est en difficulté le plus avec le choix du groupe de lettres qui ne contient pas un certain son",,,,QuestionSummary_4_8,,,
,16,QuestionSummary,QuestionSummary_4_9,4,9,"In this unit, your child is struggling the most with choosing the word that doesn't contain a certain letter","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui ne contient pas une certaine lettre",,,,QuestionSummary_4_9,,,
,16,QuestionSummary,QuestionSummary_4_10,4,10,"In this unit, your child is struggling the most with choosing the sound that doesn't contain a certain letter","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qui ne contient pas une certaine lettre",,,,QuestionSummary_4_10,,,
,16,QuestionSummary,QuestionSummary_4_11,4,11,"In this unit, your child is struggling the most with choosing the option that starts with a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir l'option qui commence par un certain son",,,,QuestionSummary_4_11,,,
,16,QuestionSummary,QuestionSummary_4_12,4,12,"In this unit, your child is struggling the most with choosing the sound that a certain word starts with","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qu'un certain mot commence par",,,,QuestionSummary_4_12,,,
,16,QuestionSummary,QuestionSummary_4_13,4,13,"In this unit, your child is struggling the most with choosing the word that starts with a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui commence par un certain son",,,,QuestionSummary_4_13,,,
,16,QuestionSummary,QuestionSummary_4_14,4,14,"In this unit, your child is struggling the most with choosing the sound that a certain syllable starts with","Dans cette unité, votre enfant est en difficulté le plus à choisir le son d'une certaine syllabe commence par",,,,QuestionSummary_4_14,,,
,16,QuestionSummary,QuestionSummary_4_15,4,15,"In this unit, your child is struggling the most with choosing the word that ends in a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui se termine dans un certain son",,,,QuestionSummary_4_15,,,
,16,QuestionSummary,QuestionSummary_4_16,4,16,"In this unit, your child is struggling the most with choosing the sound that a certain word ends with","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qu'un certain mot se termine par",,,,QuestionSummary_4_16,,,
,16,QuestionSummary,QuestionSummary_4_17,4,17,"In this unit, your child is struggling the most with choosing the group of letters that ends with a certain sound","Dans cette unité, votre enfant est en difficulté le plus avec le choix du groupe de lettres qui se termine par un certain son",,,,QuestionSummary_4_17,,,
,16,QuestionSummary,QuestionSummary_4_18,4,18,"In this unit, your child is struggling the most with choosing the sound a certain group of letters ends with","Dans cette unité, votre enfant est en difficulté le plus à choisir le son d'un certain groupe de lettres se termine par",,,,QuestionSummary_4_18,,,
,16,QuestionSummary,QuestionSummary_5_2,5,2,"In this unit, your child is struggling the most with choosing the word that does not contain a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui ne contient pas un certain son",,,,QuestionSummary_5_2,,,
,16,QuestionSummary,QuestionSummary_6_1,6,1,"In this unit, your child is struggling the most with choosing the word that ends in a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui se termine dans un certain son",,,,QuestionSummary_6_1,,,
,16,QuestionSummary,QuestionSummary_6_2,6,2,"In this unit, your child is struggling the most with choosing the word that two letters make when they're combined","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot que deux lettres font quand ils sont combinés",,,,QuestionSummary_6_2,,,
,16,QuestionSummary,QuestionSummary_6_3,6,3,"In this unit, your child is struggling the most with choosing the sound that two letters make when they're combined","Dans cette unité, votre enfant est en difficulté le plus à choisir le son que deux lettres font quand ils sont combinés",,,,QuestionSummary_6_3,,,
,16,QuestionSummary,QuestionSummary_6_4,6,4,"In this unit, your child is struggling the most with choosing the letters that make a particular sound","Dans cette unité, votre enfant est en difficulté le plus à choisir les lettres qui font un son particulier",,,,QuestionSummary_6_4,,,
,16,QuestionSummary,QuestionSummary_6_5,6,5,"In this unit, your child is struggling the most with choosing which sound a certain word ends with","Dans cette unité, votre enfant a du mal le plus avec le choix qui sonnent un certain mot se termine par",,,,QuestionSummary_6_5,,,
,16,QuestionSummary,QuestionSummary_6_6,6,6,"In this unit, your child is struggling the most with choosing which word a certain word rhymes with","Dans cette unité, votre enfant est en difficulté le plus à choisir quel mot un certain mot rime avec",,,,QuestionSummary_6_6,,,
,16,QuestionSummary,QuestionSummary_6_7,6,7,"In this unit, your child is struggling the most with choosing which pair of words rhymes","Dans cette unité, votre enfant a du mal le plus à choisir la paire de rimes mots",,,,QuestionSummary_6_7,,,
,16,QuestionSummary,QuestionSummary_6_8,6,8,"In this unit, your child is struggling the most with choosing which word a certain word rhymes with","Dans cette unité, votre enfant est en difficulté le plus à choisir quel mot un certain mot rime avec",,,,QuestionSummary_6_8,,,
,16,QuestionSummary,QuestionSummary_6_9,6,9,"In this unit, your child is struggling the most with choosing which word a certain word rhymes with","Dans cette unité, votre enfant est en difficulté le plus à choisir quel mot un certain mot rime avec",,,,QuestionSummary_6_9,,,
,16,QuestionSummary,QuestionSummary_7_1,7,1,"In this unit, your child is struggling the most with choosing the letters that make a given word","Dans cette unité, votre enfant est en difficulté le plus à choisir les lettres qui font un mot donné",,,,QuestionSummary_7_1,,,
,16,QuestionSummary,QuestionSummary_7_3,7,3,"In this unit, your child is struggling the most with choosing the word that two sounds make when they're combined","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot que deux sons font quand ils sont combinés",,,,QuestionSummary_7_3,,,
,16,QuestionSummary,QuestionSummary_7_4,7,4,"In this unit, your child is struggling the most with choosing the sound that two sounds make when they're combined","Dans cette unité, votre enfant est en difficulté le plus à choisir le son que deux sons font quand ils sont combinés",,,,QuestionSummary_7_4,,,
,16,QuestionSummary,QuestionSummary_7_5,7,5,"In this unit, your child is struggling the most with choosing the word that corresponds with two letters","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot qui correspond à deux lettres",,,,QuestionSummary_7_5,,,
,16,QuestionSummary,QuestionSummary_7_6,7,6,"In this unit, your child is struggling the most with choosing the sound that corresponds with two letters","Dans cette unité, votre enfant est en difficulté le plus à choisir le son qui correspond à deux lettres",,,,QuestionSummary_7_6,,,
,16,QuestionSummary,QuestionSummary_7_7,7,7,,,"I think this question type is deprecated for the spring study, but we should confirm",,,QuestionSummary_7_7,,,
,16,QuestionSummary,QuestionSummary_8_1,8,1,"In this unit, your child is struggling the most with choosing the letters that do not make a certain sound","Dans cette unité, votre enfant est en difficulté le plus à choisir les lettres qui ne font pas un certain son",,,,QuestionSummary_8_1,,,
,16,QuestionSummary,QuestionSummary_8_2,8,2,"In this unit, your child is struggling the most with choosing the word that two sounds make when they're combined","Dans cette unité, votre enfant est en difficulté le plus à choisir le mot que deux sons font quand ils sont combinés",,,,QuestionSummary_8_2,,,
,16,QuestionSummary,QuestionSummary_8_3,8,3,"In this unit, your child is struggling the most with choosing the letters that make a certain word","Dans cette unité, votre enfant est en difficulté le plus à choisir les lettres qui font un certain mot",,,,QuestionSummary_8_3,,,
,12,GameIntro,GameIntro,,,"Playing games with words can help students get comfortable with letters, sounds, and words. We can teach you some simple word games you can play with your children, or you can teach them to your children so they can play with each other or their friends. After your child calls in for lessons for XX days, we will teach them how to play a new game. ","Jouer à des jeux avec les mots peuvent aider les élèves à se familiariser avec des lettres, des sons et des mots. Nous pouvons vous enseigner quelques jeux de mots simples que vous pouvez jouer avec vos enfants, ou vous pouvez leur apprendre à vos enfants afin qu'ils puissent jouer les uns avec les autres ou leurs amis. Après que votre enfant appelle à des leçons pour XX jours, nous allons leur apprendre à jouer un nouveau jeu.",Too wordy?,,,GameIntro,,,
,13,GameOptions,GameOptions_0,,,Your child hasn't called in for enough lessons to learn a new word game. Make sure they continue calling Allo Alphabet for more lessons and we'll teach them a new word game soon.,Votre enfant n'a pas appelé à des leçons assez pour apprendre un nouveau jeu de mots. Assurez-vous qu'ils continuent d'appeler Allo Alphabet pour plus de leçons et nous leur apprendrons bientôt un nouveau jeu de mots.,,,,GameOptions_0,,,
,13,GameOptions,GameOptions_1,,,Your child has received enough lessons for 1 word game! Press 1 to hear the instructions for the rhyming game.,Votre enfant a reçu suffisamment de leçons pour 1 jeu de mots! Appuyez sur 1 pour entendre les instructions du jeu de rimes.,,,,GameOptions_1,,,
,13,GameOptions,GameOptions_2,,,Your child has received enough lessons for 2 word games! Press 1 for instructions for the rhyming game. Press 2 to hear instructions for the drawing game. ,Votre enfant a reçu suffisamment de leçons pour 2 jeux de mots! Appuyez sur 1 pour obtenir des instructions pour le jeu de rimes. Appuyez sur 2 pour entendre les instructions du jeu de dessin.,,,,GameOptions_2,,,
,13,GameOptions,GameOptions_3,,,Your child has received enough lessons for 3 word games! Press 1 for instructions for the rhyming game. Press 2 to hear instructions for the drawing game. Press 3 for instructions for the letter game.,Votre enfant a reçu suffisamment de leçons pour 3 jeux de mots! Appuyez sur 1 pour obtenir des instructions pour le jeu de rimes. Appuyez sur 2 pour entendre les instructions du jeu de dessin. Appuyez sur 3 pour obtenir des instructions pour le jeu de lettres.,,,,GameOptions_3,,,
,13,GameOptions,GameOptions_4,,,Your child has received enough lessons for 4 word games! Press 1 for instructions for the rhyming game. Press 2 to hear instructions for the drawing game. Press 3 for instructions for the letter game. Press 4 for instructions for the word game.,Votre enfant a reçu suffisamment de leçons pour 4 jeux de mots! Appuyez sur 1 pour obtenir des instructions pour le jeu de rimes. Appuyez sur 2 pour entendre les instructions du jeu de dessin. Appuyez sur 3 pour obtenir des instructions pour le jeu de lettres. Appuyez sur 4 pour obtenir des instructions pour le jeu de mots.,,,,GameOptions_4,,,
,13,NewGame_Parent,NewGame_Adult,,,"Your child has called in for enough lessons to learn a new word game! Press 1 to hear the instructions so you can play it with them or teach them to play it with friends, or press 9 to return to the previous menu","Votre enfant a appelé pour assez des leçons à apprendre un nouveau jeu de mots! Appuyez sur 1 pour entendre les instructions afin que vous puissiez jouer avec eux ou leur apprendre à jouer avec des amis, ou appuyez sur 9 pour revenir au menu précédent",May be too wordy... try to cut back,,,NewGame_Adult,,,
,13,GameInstructions,Game_2_Instructions_1,,,"This game is a drawing game for 3 or more players. In this game, each player takes turns to create a drawing, and the other players will try to guess the word that corresponds with this drawing. You will need something to draw with. You can use a pencil and paper, chalk and a chalkboard, or even a stick and dirt. Do you want me to repeat these instructions or continue? Press 1 to repeat or press 2 to continue.","Ce jeu est un jeu de dessin pour 3 joueurs ou plus. Dans ce jeu, chaque joueur joue à tour de rôle pour créer un dessin, et les autres joueurs vont essayer de deviner ce que signifie ce dessin. Vous aurez besoin de quelque chose comme support pour dessiner. Vous pouvez utiliser un crayon et du papier, de la craie et un tableau, ou d'un bâton et la terre. Voulez-vous que je vous répète ces instructions ou je continue? Appuyer sur 1 pour répéter ou appuyer sur 2 pour continuer.",May be too wordy... try to cut back,,,Game_2_Instructions_1,,,
,13,GameInstructions,Game_2_Instructions_2,,,"Choose a player to start the game as the drawer. The drawer will choose a letter and write this letter. The drawer draws an image that begins with this letter. For example, he chooses the letter ""B"" and he draws a ball. The rest of the players will try to guess the word associated with this image, for example ""ball"". The first player to correctly guess the word and say it aloud will gain a point. Give one point to that person. Do you want me to repeat these instructions or continue? Press 1 to repeat or press 2 to continue.
 ","Choisissez un joueur pour démarrer le jeu comme le dessinateur. Le dessinateur choisira une lettre et écrire cette lettre. Le dessinateur dessine une image qui commence avec cette lettre. Par example, il choisi le lettre “B” et il fait un dessin de un ballon. Le reste des joueurs essayera de deviner le mot associé à cette image, par example “ballon”. Le premier joueur à deviner correctement le mot gagnera un point. Marque le point de la personne. Voulez-vous que je vous répète ces instructions ou je continue? Appuyer sur 1 pour répéter ou appuyer sur 2 pour continuer.",May be too wordy... try to cut back,,,Game_2_Instructions_2,,,
,13,GameInstructions,Game_2_Instructions_3,,,"The drawer then passes the chalk to the next player, who becomes the new drawer. He will choose a new letter and write this letter. The drawer draws a new image that begins with this letter. Continue playing until the first player who wins 5 points is the winner.
 
","Le dessinateur passe ensuite la craie au joueur suivant, qui devient le nouvel dessinateur. Il choisira une nouvelle lettre et écrire cette lettre. Le dessinateur dessine une nouveau image qui commence par cette lettre. Continuez à jouer, jusqu'à ce que le premier joueur qui gagne 5 points soit le gagnant.",May be too wordy... try to cut back,,,Game_2_Instructions_3,,,
,13,GameInstructions,Game_2_Instructions_4,,,Do you want me to repeat these instructions or do you want to start playing? Press 1 to repeat or press 2 to end the call and start playing.,Voulez-vous que je vous répète ces instructions ou vous commencez à jouer? Appuyer sur 1 pour répéter ou appuyer sur 2 pour terminer l’appel et commencer à jouer.,May be too wordy... try to cut back,,,Game_2_Instructions_4,,,